ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
3	0,0,1,0	0,0,0,0	0,0,1,0	1,0,0,0	152	149
5	4,9,1,2	41,25,25,31	2,0,2,0	6,5,1,1	152	149
6	173,159,157,147	2,5,4,2	138,120,108,85	1,1,4,3	298	149
7	6,2,9,3	0,0,0,1	0,1,1,1	0,0,0,0	298	149
14	0,0,3,1	6,3,3,9	0,1,0,1	8,12,10,4	226	149
15	2,3,6,3	336,365,343,244	1,5,4,1	126,183,125,146	204	149
16	9,11,13,9	513,329,341,351	8,11,12,4	166,196,196,150	298	149
17	0,0,0,0	0,4,2,0	2,1,0,0	2,5,0,1	204	149
19	1,1,4,5	2,0,0,0	1,1,2,0	0,0,0,0	154	149
20	3,4,0,3	0,0,1,0	4,2,2,1	0,0,0,0	154	149
21	1056,932,821,856	2,1,2,1	493,558,503,501	3,1,2,2	298	149
22	38,17,34,21	1250,835,897,864	12,15,20,15	604,699,507,563	298	149
24	15,15,26,14	4,2,2,1	9,10,17,16	5,4,0,3	198	149
25	9,13,18,12	3,3,3,4	4,7,14,14	3,1,0,4	198	149
26	24,28,28,26	10,7,12,12	11,14,18,20	5,2,6,11	198	149
27	52,39,58,50	2164,1532,1991,1808	42,44,53,56	1719,1512,1636,1456	166	149
28	79,89,82,115	4,6,8,2	78,75,58,53	3,3,0,2	182	149
29	74,78,72,87	1,2,1,0	65,63,55,50	0,2,1,0	182	149
30	0,2,0,0	1,0,1,0	1,0,0,1	0,0,0,0	298	149
34	103,95,97,75	55,48,46,39	90,79,80,101	45,38,39,42	215	149
35	80,103,94,89	0,2,0,0	88,89,79,65	1,0,0,0	163	149
47	0,1,0,1	12,15,11,21	0,0,0,0	7,2,4,2	298	149
48	66,41,50,39	1,0,3,0	16,22,23,28	0,0,0,0	155	149
49	49,39,36,35	0,0,0,1	34,28,18,28	0,0,0,0	193	149
51	100,67,89,80	536,424,482,461	78,62,59,66	415,418,391,408	152	149
52	1122,692,736,729	3,1,1,1	672,666,608,683	1,0,1,1	212	149
53	939,663,648,615	0,0,2,0	582,562,576,577	1,0,1,0	185	149
54	65,68,86,56	205,228,206,195	72,60,45,76	208,227,201,203	152	149
55	0,0,2,0	0,0,0,0	1,1,0,0	0,0,2,0	152	149
56	0,0,2,0	7,6,13,8	1,2,0,2	7,2,5,6	152	149
57	7,11,10,9	180,139,182,154	8,6,12,14	125,154,108,125	152	149
58	34,18,23,24	298,206,185,200	17,8,22,13	194,198,164,174	152	149
59	12,5,3,2	279,215,159,211	7,3,6,2	144,202,155,156	170	149
60	275,171,201,195	0,0,1,5	141,141,158,124	2,2,1,5	153	149
61	0,0,2,0	0,2,0,0	2,2,0,1	0,0,0,0	235	149
62	137,102,98,82	1,0,0,0	81,70,60,92	0,0,0,0	181	149
63	175,80,103,112	0,0,1,0	103,73,75,92	0,0,0,0	298	149
64	217,147,166,123	14,5,10,9	147,119,121,103	2,8,12,10	298	149
65	133,95,75,75	0,1,0,0	52,82,55,49	0,0,3,2	153	149
66	740,516,577,536	0,2,1,2	388,408,334,384	0,0,0,4	298	149
68	11,7,28,9	4,7,9,4	8,8,8,8	1,6,1,3	152	149
69	1,3,0,0	0,10,6,7	4,0,3,4	2,13,11,11	152	149
70	53,31,54,41	404,281,268,300	74,77,70,92	478,444,406,454	200	149
72	6,5,2,0	493,510,538,445	3,5,3,2	383,432,335,359	200	149
73	35,26,25,25	1509,1148,1239,1228	31,35,22,23	1033,840,836,919	298	149
74	31,24,24,26	3,4,5,2	30,35,22,23	7,4,3,2	298	149
75	39,30,37,16	24,32,20,26	24,14,24,17	16,13,6,4	182	149
77	36,25,24,20	630,467,499,440	30,49,26,35	624,709,563,601	234	149
78	418,320,374,331	23,24,32,21	291,278,238,272	9,15,11,13	298	149
79	11,16,11,7	24,27,28,24	8,11,9,9	17,32,16,20	279	149
80	11,15,11,6	6,10,6,5	8,8,9,9	2,18,2,3	279	149
81	13,15,13,9	727,763,842,766	8,12,14,11	672,718,609,738	279	149
82	3,2,2,0	190,212,214,215	3,1,2,2	208,223,208,207	191	149
83	7,3,5,1	8,5,6,19	6,2,5,5	7,14,7,10	233	149
84	133,276,225,255	62,91,87,75	217,214,208,192	89,106,94,81	235	149
85	34,28,51,38	5,1,7,1	31,50,39,41	6,6,7,5	298	149
86	17,16,20,22	0,0,0,0	14,32,19,29	0,0,1,0	298	149
87	542,456,490,433	9,8,13,5	395,489,382,361	2,4,2,3	152	149
88	8,5,9,2	295,279,364,324	3,4,10,3	346,367,297,354	212	149
89	76,66,98,83	2,2,2,3	83,52,62,44	1,5,0,3	165	149
90	296,405,403,317	10,2,7,4	369,354,334,344	1,5,0,2	298	149
91	14,22,16,17	4,0,0,0	5,9,15,9	0,1,1,0	266	149
92	32,43,27,32	209,148,213,171	22,17,25,11	83,104,105,122	266	149
93	264,252,218,217	0,4,0,1	354,371,368,261	0,0,0,0	246	149
94	233,231,183,194	13,8,6,9	293,327,300,267	17,9,16,12	154	149
95	216,198,173,181	26,13,16,21	240,302,257,259	36,20,32,25	154	149
96	211,142,148,149	3,3,3,7	176,156,117,135	12,11,15,8	279	149
97	23,33,30,13	0,1,0,1	18,22,26,14	1,2,1,3	244	149
101	2,1,2,0	68,76,78,64	0,0,0,2	52,41,33,37	168	149
103	10,10,10,13	44,34,35,32	11,17,10,19	13,11,13,11	176	149
104	41,38,42,44	0,2,0,2	27,34,25,35	1,0,1,2	271	149
105	75,62,67,63	0,2,0,2	29,28,28,27	1,0,1,2	244	149
106	2,0,0,1	70,49,46,48	0,3,1,0	19,38,21,25	232	149
107	67,28,38,35	0,1,1,0	17,28,20,19	0,0,0,0	154	149
108	1,2,4,5	72,47,63,39	1,0,1,0	16,26,22,16	219	149
109	0,2,0,0	1,1,0,0	2,0,0,2	2,0,0,0	298	149
110	104,76,84,69	0,0,0,2	55,49,35,52	0,0,0,0	298	149
111	26,22,17,24	20,30,34,21	14,16,18,5	15,13,13,24	214	149
112	38,90,55,63	0,2,2,4	66,82,54,46	2,0,0,1	218	149
113	61,51,29,56	2,1,1,1	45,60,46,43	0,0,1,0	161	149
114	0,0,0,0	19,29,17,7	1,0,0,0	16,14,4,8	195	149
116	3,2,0,2	237,177,180,178	0,0,2,0	100,110,100,111	170	149
117	0,1,0,0	11,2,14,8	0,0,1,0	2,0,0,4	193	149
118	15,14,3,5	68,40,40,35	3,1,0,5	13,13,13,17	152	149
119	0,2,3,1	22,39,42,40	0,0,3,0	32,21,26,31	166	149
120	461,427,478,413	0,0,0,0	284,252,208,228	2,0,0,0	218	149
121	195,183,173,155	2,0,1,1	108,121,116,95	0,0,0,0	236	149
122	1244,1467,1585,1277	1,6,3,1	954,976,911,802	0,2,0,6	155	149
123	69,94,95,87	1571,1799,1970,1634	63,58,49,55	1164,1227,1118,1010	152	149
125	1644,1652,2286,1924	0,0,0,0	1413,1302,1254,1142	1,1,2,0	298	149
126	1668,1678,2309,1950	0,0,0,0	1432,1322,1270,1152	0,0,2,0	298	149
127	24,26,23,26	0,0,0,0	20,21,18,10	0,0,2,0	152	149
128	672,594,625,523	547,511,521,466	371,401,373,353	361,375,343,340	152	149
129	24,27,23,29	0,0,2,5	20,26,16,13	0,0,2,3	152	149
130	1801,1662,1791,1499	0,1,0,0	1104,1155,1062,1012	0,0,0,0	161	149
132	322,304,232,242	2,5,2,1	144,134,115,111	4,1,1,3	182	149
133	13,11,10,8	0,0,0,0	16,11,10,8	1,0,0,0	235	149
134	17,12,11,15	0,1,0,0	19,9,8,11	0,0,0,0	298	149
135	530,428,387,437	0,0,0,0	278,268,231,254	0,0,0,1	298	149
136	377,411,442,442	0,1,0,0	253,332,220,239	0,0,0,0	298	149
137	403,437,436,443	0,0,0,0	234,319,246,261	2,0,0,0	298	149
138	21,29,18,26	53,80,58,67	12,20,17,15	39,46,30,53	258	149
139	39,58,42,45	363,391,398,394	29,39,31,32	176,275,199,227	258	149
148	1,1,0,0	4,2,7,7	0,1,0,0	1,0,1,1	152	149
149	2,5,5,4	4,2,1,0	1,1,2,1	1,2,0,1	257	149
150	0,2,3,0	0,1,4,0	2,1,0,1	0,0,0,0	190	149
151	4,5,6,0	2,0,0,1	3,5,0,1	1,0,0,2	152	149
152	2,5,3,3	11,8,16,5	2,1,0,0	8,6,9,7	171	149
153	43,50,59,38	386,444,434,423	30,28,18,20	223,262,208,209	152	149
154	1,0,0,0	54,53,57,43	0,0,1,0	19,25,21,26	181	149
155	2,0,0,0	9,4,5,7	0,0,3,0	1,1,8,3	185	149
156	55,53,57,43	9,4,5,7	19,25,23,26	1,1,8,3	153	149
157	7,16,8,4	18,16,21,16	0,1,2,5	4,11,6,8	298	149
158	52,29,35,43	0,2,0,0	16,10,18,20	0,0,0,0	185	149
159	29,26,21,39	1,0,0,0	14,6,11,10	0,0,1,0	185	149
160	7,10,4,11	2,1,3,3	0,3,1,9	1,0,4,2	224	149
161	0,1,0,0	6,7,6,1	0,0,0,0	1,0,0,0	298	149
162	8,9,4,2	0,2,0,0	1,4,0,0	0,0,0,0	298	149
163	14,16,10,3	0,2,0,0	2,4,0,0	0,0,0,0	291	149
164	121,92,95,120	4444,3600,3791,3538	39,55,44,40	1936,1909,1739,1812	170	149
166	1591,1762,1826,1610	667,760,817,679	749,839,687,692	384,447,404,414	170	149
167	307,305,336,317	667,760,817,679	124,135,121,126	384,447,404,414	217	149
168	495,504,571,476	667,760,817,679	202,214,183,221	384,447,404,414	298	149
169	52,60,50,43	1336,1517,1540,1336	44,37,32,25	669,741,598,591	196	149
170	263,291,320,226	1336,1517,1540,1336	131,132,110,126	669,741,598,591	298	149
171	236,244,289,195	12,3,5,3	98,113,83,106	7,7,2,3	258	149
173	169,129,113,119	24,13,8,10	62,77,52,59	11,8,11,1	298	149
174	1,1,0,0	116,81,86,99	0,1,1,0	53,43,39,43	209	149
175	5,4,10,11	94,64,61,65	6,4,6,6	42,46,45,28	197	149
176	1,4,4,0	16,13,12,23	0,2,1,0	9,4,8,2	188	149
177	19,13,24,32	0,0,1,0	19,8,9,5	0,0,0,0	298	149
182	3,2,0,3	25,23,21,10	3,0,0,2	4,4,2,3	217	149
183	121,93,70,76	0,0,0,0	29,23,30,36	0,0,3,0	298	149
184	140,107,152,128	0,0,0,2	62,58,63,56	0,0,0,0	298	149
186	72,48,60,55	1,4,0,2	4,4,8,4	0,0,0,0	160	149
187	12,5,7,5	0,4,5,2	7,2,5,1	2,5,2,2	182	149
188	2,4,3,0	33,19,22,10	2,3,3,3	10,11,7,12	182	149
189	2,5,3,0	271,213,214,254	2,3,3,3	140,112,118,115	185	149
190	33,20,22,10	271,213,214,254	10,11,7,12	140,112,118,115	152	149
191	3,1,2,0	23,14,25,20	0,0,0,0	4,4,6,5	183	149
192	14,12,18,4	3,2,2,7	2,10,2,4	0,0,0,0	298	149
194	230,156,165,171	0,0,0,0	82,103,106,81	0,0,2,0	156	149
195	10,7,12,4	1,0,2,4	0,1,1,0	0,0,0,0	298	149
197	1,8,2,5	125,110,129,92	5,0,2,1	36,51,49,57	298	149
198	0,3,5,8	0,0,0,0	2,1,1,2	0,0,0,1	152	149
201	340,273,308,249	0,0,1,0	318,290,241,280	0,0,0,0	298	149
202	580,336,665,571	13,13,21,3	637,647,563,604	17,6,13,18	239	149
203	0,0,0,1	3,1,1,4	0,0,6,2	4,2,8,3	170	149
