ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	49,51,38,29	188,183,179,149	33,35,36,16	168,141,158,131	298	149
1	897,698,693,655	4,1,7,2	808,863,719,728	4,1,2,3	298	149
2	21,9,13,10	182,154,182,146	11,5,8,9	129,133,112,106	298	149
14	17,15,21,20	837,742,1011,1008	12,10,9,7	639,741,658,623	298	149
15	116,52,55,65	1129,936,966,940	49,46,39,35	635,656,638,650	298	149
16	14,11,16,11	1234,972,987,977	16,7,8,14	642,674,668,657	298	149
17	60,38,42,31	2,0,0,1	27,34,31,23	0,3,0,1	298	149
18	6,11,9,5	15,142,137,90	12,15,8,13	101,131,96,114	298	149
19	24,15,24,13	30,41,28,41	30,26,19,21	42,38,33,27	273	149
20	11,16,8,6	5,6,8,8	6,19,7,5	5,10,2,5	298	149
23	9,7,5,8	0,0,0,0	2,2,7,5	0,1,0,0	298	149
25	7,21,11,17	1526,1787,1834,1771	10,13,8,9	1571,1633,1329,1401	262	149
26	0,0,1,1	24,59,50,58	1,0,1,1	40,63,51,54	298	149
27	4,2,2,0	8,42,57,49	4,0,2,4	45,34,33,48	298	149
35	0,0,0,0	6,4,4,3	0,1,0,0	5,6,4,3	298	149
37	1,0,2,0	244,223,157,193	1,2,0,1	174,167,157,148	298	149
38	0,1,3,0	201,190,195,195	0,5,1,4	155,162,125,157	298	149
41	38,28,25,19	5,9,4,8	30,15,7,14	1,2,7,3	298	149
42	593,401,497,446	63,48,67,39	379,269,258,287	46,29,34,37	298	149
43	39,30,20,15	678,448,441,463	18,16,15,8	418,445,392,429	217	149
44	9,12,13,5	568,385,376,374	10,4,6,8	378,378,284,359	217	149
45	7,9,7,0	205,228,206,195	8,5,1,4	208,227,201,203	244	149
46	0,2,2,0	58,61,81,56	4,4,0,2	68,59,44,74	241	149
47	3,0,0,0	2,0,2,1	0,3,0,2	0,1,1,0	298	149
48	4,7,9,3	0,0,0,0	4,1,7,3	0,0,0,1	298	149
49	66,60,44,48	64,64,50,57	52,41,16,36	60,26,57,62	220	149
50	45,33,23,27	107,72,99,85	24,29,14,24	102,68,78,76	298	149
51	134,70,99,94	1,1,2,2	110,75,59,63	4,0,0,0	298	149
52	130,73,97,78	43,37,27,33	109,81,53,69	29,34,30,23	298	149
54	102,59,55,57	520,443,431,430	38,37,40,43	319,301,244,340	228	149
57	13,30,24,26	11,37,43,31	25,14,35,30	58,41,46,45	235	149
58	32,46,33,33	331,258,314,278	23,24,17,27	228,241,220,231	298	149
59	1,9,7,5	123,136,147,110	4,4,5,5	139,164,114,127	298	149
60	5,5,1,1	172,129,163,136	6,9,3,6	133,171,147,129	298	149
63	42,31,39,33	1,2,3,4	33,26,27,27	2,1,1,1	298	149
64	45,28,39,37	415,394,433,395	33,27,33,26	360,348,313,329	298	149
65	3,5,3,22	281,281,359,321	7,13,5,3	306,372,278,271	298	149
66	78,115,140,113	381,672,620,615	90,82,93,58	566,634,496,454	298	149
68	11,7,7,15	225,178,157,169	12,21,17,6	284,325,273,225	225	149
69	1148,823,803,752	13,6,7,5	790,657,740,739	2,9,5,6	239	149
74	6,8,6,1	122,90,107,91	3,0,0,3	48,47,29,63	298	149
75	19,1,4,0	44,28,26,23	2,3,3,0	14,23,12,20	236	149
76	469,413,498,489	0,2,0,0	287,297,236,241	1,0,0,0	298	149
81	1,0,0,1	11,4,16,7	0,0,0,0	0,1,4,2	298	149
82	3,1,1,3	1,2,0,1	2,0,1,1	2,2,2,2	298	149
83	4,3,3,3	144,131,104,116	2,2,1,1	67,62,52,58	264	149
84	12,9,7,8	420,324,323,310	4,7,5,3	185,205,183,166	235	149
85	2,0,0,2	5,0,0,1	1,0,0,0	0,0,0,0	298	149
87	46,58,67,38	648,568,602,497	26,28,24,21	352,381,357,343	298	149
88	69,84,90,64	547,511,521,466	45,48,40,31	361,375,343,340	298	149
89	46,33,37,31	63,42,53,33	23,20,15,21	29,33,35,26	298	149
90	754,542,638,643	84,44,53,56	413,444,433,430	38,32,28,32	298	149
91	1,4,5,7	13,5,8,5	0,0,3,3	15,6,7,6	298	149
92	1,10,6,7	0,0,0,0	1,5,6,3	1,0,0,0	298	149
93	5,7,7,14	0,1,0,0	4,3,4,6	0,0,0,0	298	149
94	4,11,5,13	3,9,4,3	4,5,3,6	7,5,4,4	298	149
96	70,56,61,70	236,282,250,277	27,25,19,26	162,230,153,168	298	149
97	26,30,19,28	337,381,406,398	10,14,14,11	243,315,213,228	298	149
100	4,8,5,3	0,1,4,0	4,5,1,5	0,0,0,0	267	149
102	0,0,4,0	25,10,18,11	0,0,0,0	10,16,10,12	230	149
103	74,207,167,160	3,7,3,6	121,116,120,98	4,2,1,2	230	149
104	29,15,16,15	1,1,0,1	1,11,9,5	0,0,0,8	298	149
105	32,22,20,23	2,1,3,3	1,14,8,6	1,0,4,2	298	149
106	14,18,11,14	3,2,0,2	8,1,5,1	0,0,0,0	298	149
108	2,0,0,0	8,3,1,10	0,0,0,0	0,0,0,1	298	149
109	707,727,838,683	667,760,817,679	316,317,278,303	384,447,404,414	298	149
110	473,514,587,432	1336,1517,1540,1336	245,235,205,208	669,741,598,591	298	149
111	486,494,595,432	12,3,5,3	230,244,192,198	7,7,2,3	298	149
112	462,467,550,417	8,12,16,11	253,257,189,169	3,3,3,3	298	149
113	72,43,50,45	354,315,305,325	26,35,14,23	164,160,141,176	269	149
114	230,246,231,152	130,141,114,116	104,97,64,70	60,71,79,70	284	149
115	338,337,307,255	244,202,209,214	178,147,100,127	123,104,94,94	298	149
116	8,8,6,3	59,35,41,41	4,0,2,2	51,38,37,36	298	149
117	2,2,3,0	116,81,86,99	3,1,1,0	53,43,39,43	298	149
121	1,8,7,5	1,2,1,0	3,2,5,1	0,0,1,0	261	149
122	13,6,8,15	2,2,1,3	9,2,3,2	0,0,2,1	298	149
123	2,2,3,1	20,14,15,18	0,0,0,0	19,11,5,7	298	149
124	13,7,5,3	10,9,18,8	9,7,1,0	14,7,5,4	296	149
125	13,10,11,8	9,5,10,5	9,0,1,2	13,8,3,2	231	149
127	2,8,3,2	9,14,16,9	2,0,0,2	5,2,5,0	298	149
128	34,36,15,18	3,0,2,2	14,6,6,9	0,0,1,0	298	149
129	61,49,27,35	9,1,0,4	16,18,15,17	0,0,0,0	298	149
130	18,7,7,3	79,95,71,70	3,5,2,1	34,30,32,33	298	149
131	1615,1663,1644,1567	15,9,13,9	706,740,652,639	3,2,7,1	230	149
132	12,5,3,6	67,43,44,39	0,5,0,0	4,2,6,5	298	149
133	0,1,0,0	48,40,34,37	0,0,0,0	5,10,4,5	237	149
134	0,3,2,3	16,5,19,7	0,0,0,0	0,2,0,1	222	149
135	7,0,3,2	26,18,19,12	1,4,0,1	4,8,4,3	298	149
136	9,4,2,2	26,16,11,18	1,5,0,3	6,6,4,6	298	149
137	8,1,2,0	11,17,18,8	0,4,0,0	1,3,2,2	298	149
139	13,10,12,9	7,7,2,1	0,1,1,0	0,0,0,0	298	149
145	65,45,43,51	302,245,286,228	32,53,45,40	298,272,230,263	278	149
146	77,58,50,56	0,0,1,0	41,50,40,44	0,0,0,0	298	149
147	95,65,52,56	482,341,349,332	46,48,33,51	380,373,349,361	233	149
148	25,20,43,27	513,297,382,361	43,34,27,56	380,422,364,337	239	149
149	194,91,104,114	301,193,266,207	125,104,86,118	258,270,250,222	298	149
150	428,216,470,432	13,13,21,3	465,448,376,473	17,6,13,18	298	149
156	6,3,9,5	10,5,15,10	5,1,1,5	7,3,7,3	298	149
157	36,25,24,20	736,427,540,485	27,20,32,31	540,542,514,545	278	149
163	986,590,682,628	1,1,0,2	718,860,727,722	0,0,1,0	298	149
164	164,113,99,106	16418,10133,10645,10868	89,158,110,118	12360,12526,12080,11801	298	149
165	3,10,4,3	41,50,55,44	4,4,1,12	43,70,37,39	298	149
171	232,152,148,120	229,129,130,114	137,124,111,94	122,144,116,131	239	149
