ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	920,918,857,891	37,41,39,44	1010,1066,879,919	53,61,50,55	182	149
2	6,4,16,10	131,131,123,118	4,3,7,9	108,94,74,80	180	149
3	7,6,14,16	8,14,11,5	12,3,4,13	5,1,4,6	180	149
4	3,3,7,8	7,2,15,8	4,1,3,7	2,4,7,0	180	149
7	12,3,1,3	1690,1598,1703,1639	3,1,11,5	2312,2270,2046,2114	199	149
8	5,5,13,5	1407,1405,1490,1454	13,16,7,12	2020,1898,1788,1827	263	149
9	3,3,2,7	6,3,5,5	5,4,1,2	3,3,4,7	354	149
15	2,0,0,0	32,30,31,35	0,2,2,1	24,24,11,23	254	149
16	1093,908,865,814	0,0,0,0	608,619,570,566	0,2,0,0	1877	149
17	1577,1126,1034,1034	0,0,1,0	831,871,686,712	0,0,0,0	1292	149
18	12,31,31,18	3,5,0,7	22,40,33,35	8,10,2,4	982	149
19	31,21,20,16	2399,1853,2021,1799	21,27,11,15	1707,1656,1603,1535	1041	149
20	43,46,35,32	0,5,7,4	32,35,33,24	6,0,2,3	665	149
21	17,23,17,14	450,559,566,534	14,15,10,15	453,473,448,404	153	149
22	1,0,1,1	0,0,1,1	0,0,0,2	3,1,0,0	161	149
23	19,46,36,45	109,166,157,152	41,40,29,28	129,165,122,127	166	149
24	137,114,107,101	15,10,18,13	134,117,95,85	10,26,10,15	158	149
25	26,23,24,15	15,10,18,13	20,16,15,29	10,26,10,15	201	149
26	21,18,20,14	132,109,103,100	15,15,11,23	129,116,91,79	192	149
27	6,5,4,2	1,0,0,0	6,1,4,6	0,0,1,0	158	149
28	11,10,10,4	1,0,0,0	8,5,7,14	0,0,1,0	201	149
29	6,5,6,3	1,0,0,1	3,4,3,8	1,0,0,0	192	149
42	0,0,2,0	0,0,0,0	1,0,0,1	1,0,0,0	222	149
43	0,0,2,0	0,0,0,0	1,0,0,1	1,0,0,0	239	149
44	0,0,4,0	0,0,0,0	1,0,0,1	1,0,0,0	418	149
50	326,233,224,198	1,0,0,0	180,161,135,136	0,0,0,0	213	149
51	0,0,3,0	11,5,4,4	0,1,0,1	8,10,3,4	153	149
52	20,19,13,16	32,21,36,29	15,10,10,15	41,11,39,28	296	149
53	181,135,117,100	1,0,0,0	121,96,70,103	0,0,0,0	420	149
54	196,131,138,120	1,0,0,0	124,103,79,109	0,0,0,0	505	149
55	23,15,15,18	43,37,27,33	18,15,10,15	29,34,30,23	208	149
63	53,34,48,31	444,369,367,300	49,40,31,47	349,356,344,358	204	149
64	211,215,233,157	0,1,5,1	204,226,174,190	0,0,1,2	2483	149
65	0,0,0,0	2,2,2,1	2,0,0,0	1,0,0,5	179	149
67	109,107,110,99	0,1,0,1	97,128,94,102	0,1,0,0	171	149
68	610,564,543,496	0,0,0,0	456,477,415,425	0,0,2,0	771	149
69	17,14,18,10	415,394,433,395	10,8,14,7	360,348,313,329	267	149
70	2,0,0,0	1,0,0,0	1,1,0,5	0,0,0,0	223	149
71	1,0,2,1	0,0,0,0	2,0,0,1	1,3,0,0	189	149
72	101,160,196,156	283,464,640,519	129,139,116,117	543,441,434,381	155	149
73	160,134,195,154	12,7,12,16	144,150,128,152	17,7,10,6	155	149
75	314,228,204,229	2,1,0,6	297,370,331,303	0,1,1,1	350	149
76	30,21,28,18	501,483,531,535	21,14,21,12	565,543,529,428	200	149
81	2,1,0,1	33,49,63,43	4,1,1,2	20,30,20,18	381	149
82	41,68,36,53	3,0,4,2	20,24,13,26	0,1,1,0	153	149
83	0,0,0,1	35,63,39,48	0,0,0,0	26,37,28,21	173	149
84	0,1,0,1	67,58,45,50	0,1,2,0	34,29,24,19	177	149
85	118,110,106,94	0,0,1,0	47,48,35,52	0,0,0,0	1634	149
86	9,15,19,12	143,207,163,178	10,11,9,19	88,96,83,100	316	149
87	8,9,14,9	143,207,163,178	5,6,7,14	88,96,83,100	317	149
88	0,0,0,1	1,6,5,4	0,0,0,0	5,5,2,5	150	149
90	101,57,55,70	0,0,0,0	70,66,63,54	1,0,0,0	230	149
91	5,0,1,6	0,0,0,1	4,2,1,1	0,0,0,0	926	149
92	540,434,471,431	0,0,0,0	265,238,225,268	0,0,1,0	270	149
93	0,1,1,1	2,2,3,3	0,0,3,0	2,8,1,3	196	149
94	4,7,7,14	74,78,41,64	4,5,6,4	34,29,29,21	196	149
95	1,4,1,2	7,10,16,10	0,0,3,0	5,3,1,3	196	149
96	2,0,2,2	42,40,49,45	0,0,0,0	9,14,4,12	164	149
97	123,108,148,115	2,1,3,1	106,80,71,73	1,1,0,0	180	149
98	1878,1923,2003,1657	2,1,3,1	1220,1155,1061,1088	1,1,0,0	2993	149
99	1772,1824,1872,1558	17,9,17,16	1124,1086,992,1021	10,11,2,6	2962	149
100	232,189,217,163	8,5,4,5	65,97,108,83	1,1,3,3	204	149
101	1,1,1,2	4,1,0,0	0,2,3,0	2,1,5,2	154	149
102	50,35,38,39	67,58,97,56	16,14,21,14	24,31,20,16	154	149
103	62,64,57,47	0,0,1,0	17,29,37,29	0,0,0,1	204	149
104	8,3,3,1	15,5,5,13	5,5,2,1	2,4,3,6	154	149
105	2,7,7,4	2,3,4,0	2,2,2,3	1,0,0,2	470	149
106	2,7,7,5	2,4,0,2	6,3,4,5	0,3,0,2	470	149
107	2,6,7,4	0,0,0,0	2,2,2,5	0,0,1,0	470	149
108	16,20,26,18	4,2,5,10	3,7,4,10	3,1,2,3	185	149
109	93,137,152,126	3,3,3,2	55,58,56,43	0,1,1,3	162	149
110	4,16,11,10	0,1,0,0	7,8,9,8	0,0,0,0	562	149
111	21,69,45,48	3,4,0,3	29,27,21,25	0,1,0,0	1248	149
112	309,389,349,364	0,1,0,0	209,269,201,195	0,0,0,0	2474	149
115	333,290,230,225	6,12,9,7	86,128,127,82	3,5,1,2	236	149
118	2,2,2,2	2,1,1,1	1,0,0,0	0,0,5,1	156	149
119	15,10,9,4	3,6,4,1	6,6,6,4	7,9,5,5	153	149
120	113,138,112,116	2,1,0,2	46,63,28,29	2,4,1,4	1203	149
121	125,150,121,118	2,0,1,1	51,63,27,33	0,0,2,1	1203	149
123	278,266,222,241	244,202,209,214	147,138,126,138	123,104,94,94	208	149
124	23,17,10,13	59,35,41,41	6,7,13,12	51,38,37,36	159	149
126	18,23,25,32	0,0,0,3	19,10,16,5	0,2,0,0	378	149
127	31,18,21,32	2,2,1,3	28,13,8,9	0,0,2,1	208	149
129	124,137,94,102	9,1,0,4	47,43,45,49	0,0,0,0	208	149
