ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	57,56,50,33	188,183,179,149	34,42,39,23	168,141,158,131	372	149
1	11558,8430,8564,8027	4,1,7,2	10476,10443,9561,9318	4,1,2,3	2403	149
2	129,73,70,52	182,154,182,146	63,59,43,48	129,133,112,106	2103	149
14	54,52,65,46	837,742,1011,1008	36,38,30,29	639,741,658,623	2371	149
15	189,94,135,102	1129,936,966,940	81,70,72,65	635,656,638,650	817	149
16	47,38,32,40	1234,972,987,977	23,20,14,17	642,674,668,657	1730	149
17	205,142,139,108	2,0,0,1	121,111,93,81	0,3,0,1	1192	149
18	6,11,9,5	15,142,137,90	12,15,8,13	101,131,96,114	469	149
19	24,15,24,13	30,41,28,41	30,26,19,21	42,38,33,27	273	149
20	26,26,20,10	5,6,8,8	18,26,14,12	5,10,2,5	989	149
23	9,7,5,8	0,0,0,0	2,2,7,5	0,1,0,0	600	149
25	7,21,11,17	1526,1787,1834,1771	10,13,8,9	1571,1633,1329,1401	262	149
26	0,0,2,3	24,59,50,58	1,0,1,1	40,63,51,54	1121	149
27	4,3,4,2	8,42,57,49	4,1,3,4	45,34,33,48	363	149
35	0,0,0,0	6,4,4,3	0,1,0,0	5,6,4,3	3944	149
37	1,0,2,0	244,223,157,193	1,2,0,1	174,167,157,148	1432	149
38	0,1,3,0	201,190,195,195	0,5,1,4	155,162,125,157	1223	149
41	275,197,184,207	5,9,4,8	165,137,121,103	1,2,7,3	554	149
42	594,401,500,448	63,48,67,39	379,273,259,288	46,29,34,37	302	149
43	39,30,20,15	678,448,441,463	18,16,15,8	418,445,392,429	217	149
44	9,12,13,5	568,385,376,374	10,4,6,8	378,378,284,359	217	149
45	7,9,7,0	205,228,206,195	8,5,1,4	208,227,201,203	244	149
46	0,2,2,0	58,61,81,56	4,4,0,2	68,59,44,74	241	149
47	3,0,0,0	2,0,2,1	0,3,0,3	0,1,1,0	477	149
48	6,8,18,4	0,0,0,0	4,2,11,4	0,0,0,1	539	149
49	66,60,44,48	64,64,50,57	52,41,16,36	60,26,57,62	220	149
50	48,33,27,29	107,72,99,85	25,32,14,27	102,68,78,76	336	149
51	151,85,107,108	1,1,2,2	124,81,69,72	4,0,0,0	325	149
52	173,99,120,124	43,37,27,33	138,96,79,87	29,34,30,23	384	149
54	102,59,55,57	520,443,431,430	38,37,40,43	319,301,244,340	228	149
56	0,0,0,0	0,0,1,0	0,4,0,0	0,0,0,0	1071	149
57	13,30,24,26	11,37,43,31	25,14,35,30	58,41,46,45	235	149
58	38,52,40,38	331,258,314,278	27,29,20,28	228,241,220,231	371	149
59	21,24,34,25	123,136,147,110	26,22,12,26	139,164,114,127	2365	149
60	7,8,4,2	172,129,163,136	7,11,5,6	133,171,147,129	629	149
63	58,53,54,40	1,2,3,4	54,37,43,46	2,1,1,1	605	149
64	72,64,66,45	415,394,433,395	58,43,55,50	360,348,313,329	723	149
65	3,5,3,22	281,281,359,321	7,13,5,3	306,372,278,271	323	149
66	730,1628,1615,1317	381,672,620,615	1041,1157,714,775	566,634,496,454	4089	149
68	11,7,7,15	225,178,157,169	12,21,17,6	284,325,273,225	225	149
69	1148,823,803,752	13,6,7,5	790,657,740,739	2,9,5,6	239	149
74	15,18,10,15	122,90,107,91	13,9,6,7	48,47,29,63	1531	149
75	19,1,4,0	44,28,26,23	2,3,3,0	14,23,12,20	236	149
76	814,817,883,848	0,2,0,0	517,524,460,438	1,0,0,0	559	149
81	1,0,0,1	11,4,16,7	0,0,0,0	0,1,4,2	1560	149
82	5,1,1,7	1,2,0,1	6,0,1,2	2,2,2,2	848	149
83	4,3,3,3	144,131,104,116	2,2,1,1	67,62,52,58	264	149
84	12,9,7,8	420,324,323,310	4,7,5,3	185,205,183,166	235	149
85	4,0,8,8	5,0,0,1	1,0,2,2	0,0,0,0	785	149
87	259,447,446,330	648,568,602,497	181,198,140,170	352,381,357,343	2924	149
88	282,473,469,356	547,511,521,466	200,218,156,180	361,375,343,340	2927	149
89	64,39,45,35	63,42,53,33	26,20,15,23	29,33,35,26	448	149
90	780,550,651,648	84,44,53,56	418,447,436,434	38,32,28,32	467	149
91	1,7,7,7	13,5,8,5	0,3,4,4	15,6,7,6	395	149
92	1,13,9,10	0,0,0,0	1,8,7,6	1,0,0,0	481	149
93	5,29,19,28	0,1,0,0	6,10,12,12	0,0,0,0	1013	149
