ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
6	"ENSG00000186866"	"POFUT2"	chr21	-	45263927	45267713	45263927	45265635	45269838	45270019
7	"ENSG00000186866"	"POFUT2"	chr21	-	45263927	45267713	45263927	45265635	45277016	45277142
17	"ENSG00000160191"	"PDE9A"	chr21	+	42698912	42699011	42698967	42699011	42697414	42697490
19	"ENSG00000185437"	"SH3BGR"	chr21	+	39462374	39462560	39462379	39462560	39445864	39445892
20	"ENSG00000185437"	"SH3BGR"	chr21	+	39462374	39462560	39462379	39462560	39445930	39446098
21	"ENSG00000141959"	"PFKL"	chr21	+	44313912	44316339	44316243	44316339	44313637	44313682
24	"ENSG00000185917"	"SETD4"	chr21	-	36058815	36058973	36058815	36058924	36059821	36060242
28	"ENSG00000159131"	"GART"	chr21	-	33539170	33539356	33539170	33539323	33542547	33542820
29	"ENSG00000159131"	"GART"	chr21	-	33539170	33539356	33539170	33539323	33542586	33542842
50	"ENSG00000254413"	"CHKB-CPT1B"	chr22	-	50579425	50579507	50579425	50579458	50579790	50579830
55	"ENSG00000100239"	"PPP6R2"	chr22	+	50419345	50419462	50419348	50419462	50393892	50394135
56	"ENSG00000100239"	"PPP6R2"	chr22	+	50419345	50419462	50419348	50419462	50416091	50416157
63	"ENSG00000128159"	"TUBGCP6"	chr22	-	50219287	50219791	50219287	50219456	50219956	50220015
64	"ENSG00000128159"	"TUBGCP6"	chr22	-	50219956	50221874	50219956	50220015	50222027	50222102
66	"ENSG00000170638"	"TRABD"	chr22	+	50197822	50198186	50198074	50198186	50197448	50197588
68	"ENSG00000186951"	"PPARA"	chr22	+	46198341	46198591	46198344	46198591	46151887	46151970
69	"ENSG00000186951"	"PPARA"	chr22	+	46198341	46198591	46198344	46198591	46188722	46188822
74	"ENSG00000189306"	"RRP7A"	chr22	-	42516010	42516296	42516010	42516136	42519713	42519796
78	"ENSG00000100417"	"PMM1"	chr22	-	41583958	41584372	41583958	41584058	41584526	41584603
79	"ENSG00000100401"	"RANGAP1"	chr22	-	41280932	41281212	41280932	41281082	41284900	41285153
80	"ENSG00000100401"	"RANGAP1"	chr22	-	41280932	41281212	41280932	41281082	41285362	41285905
81	"ENSG00000100401"	"RANGAP1"	chr22	-	41280932	41281212	41280932	41281082	41285985	41286251
86	"ENSG00000100307"	"CBX7"	chr22	-	39134400	39134752	39134400	39134473	39141370	39141436
87	"ENSG00000100242"	"SUN2"	chr22	-	38739341	38739426	38739341	38739423	38739721	38739943
89	"ENSG00000100242"	"SUN2"	chr22	-	38754641	38754706	38754641	38754690	38755762	38756000
90	"ENSG00000100221"	"JOSD1"	chr22	-	38699802	38700618	38699802	38700123	38700903	38700930
91	"ENSG00000100211"	"CBY1"	chr22	+	38670766	38670989	38670883	38670989	38656955	38657143
96	"ENSG00000100097"	"LGALS1"	chr22	+	37676855	37677065	37676985	37677065	37676124	37676188
97	"ENSG00000100083"	"GGA1"	chr22	+	37613023	37613191	37613118	37613191	37609065	37609356
109	"ENSG00000198089"	"SFI1"	chr22	+	31604868	31606430	31606327	31606430	31589446	31589577
110	"ENSG00000198089"	"SFI1"	chr22	+	31604868	31606430	31606327	31606430	31604308	31604404
125	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29291599	29291561	29291599	29286922	29287134
126	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29291599	29291564	29291599	29286922	29287134
127	"ENSG00000182944"	"EWSR1"	chr22	+	29291561	29291599	29291564	29291599	29286922	29287134
129	"ENSG00000182944"	"EWSR1"	chr22	+	29291561	29291599	29291564	29291599	29288986	29289062
130	"ENSG00000182944"	"EWSR1"	chr22	+	29292487	29292606	29292499	29292606	29292158	29292169
135	"ENSG00000100099"	"HPS4"	chr22	-	26451479	26453404	26451479	26451821	26457858	26457967
136	"ENSG00000100099"	"HPS4"	chr22	-	26465454	26466262	26465454	26465551	26468550	26468623
137	"ENSG00000100099"	"HPS4"	chr22	-	26466225	26468623	26466225	26466262	26470718	26470813
138	"ENSG00000100099"	"HPS4"	chr22	-	26470718	26470922	26470718	26470813	26471212	26471388
159	"ENSG00000133460"	"SLC2A11"	chr22	+	23882458	23882646	23882494	23882646	23877857	23877869
177	"ENSG00000206140"	"TMEM191C"	chr22	+	21468943	21469346	21469273	21469346	21468778	21468835
183	"ENSG00000226287"	"TMEM191A"	chr22	+	20703632	20704040	20703967	20704040	20703467	20703524
193	"ENSG00000100033"	"PRODH"	chr22	-	18930989	18931198	18930989	18931181	18936169	18936296
194	"ENSG00000183628"	"DGCR6"	chr22	+	18910171	18910272	18910178	18910272	18906564	18906725
195	"ENSG00000274602"	"PI4KAP1"	chr22	-	18536649	18537412	18536649	18536808	18538432	18538558
201	"ENSG00000100359"	"SGSM3"	chr22	+	40407200	40407568	40407412	40407568	40407016	40407071
217	"ENSG00000196724"	"ZNF418"	chr19	-	57930427	57930554	57930427	57930512	57933816	57933902
218	"ENSG00000196724"	"ZNF418"	chr19	-	57930427	57930557	57930427	57930512	57933816	57933902
233	"ENSG00000063241"	"ISOC2"	chr19	-	55455259	55455378	55455259	55455330	55456348	55456489
254	"ENSG00000170889"	"RPS9"	chr19	+	54206275	54206724	54206552	54206724	54201486	54201609
255	"ENSG00000170889"	"RPS9"	chr19	+	54206552	54207647	54207397	54207647	54201486	54201609
261	"ENSG00000105618"	"PRPF31"	chr19	+	54129056	54129370	54129271	54129370	54128072	54128200
268	"ENSG00000213793"	"ZNF888"	chr19	-	52917858	52917997	52917858	52917931	52918818	52918937
270	"ENSG00000167562"	"ZNF701"	chr19	+	52572236	52572368	52572239	52572368	52570663	52570886
273	"ENSG00000105497"	"ZNF175"	chr19	+	51581367	51581517	51581390	51581517	51573327	51573401
285	"ENSG00000161677"	"JOSD2"	chr19	-	50510285	50510448	50510285	50510445	50511074	50511159
291	"ENSG00000104960"	"PTOV1"	chr19	+	49859985	49860183	49860055	49860183	49858056	49858114
304	"ENSG00000142546"	"NOSIP"	chr19	-	49557089	49558978	49557089	49557249	49559933	49560039
307	"ENSG00000142541"	"RPL13A"	chr19	+	49490231	49490576	49490474	49490576	49489849	49489922
311	"ENSG00000090554"	"FLT3LG"	chr19	+	49485963	49486231	49486014	49486231	49476422	49476566
319	"ENSG00000104872"	"PIH1D1"	chr19	-	49451484	49451591	49451484	49451578	49453392	49453494
323	"ENSG00000197813"	"AC011450.1"	chr19	-	49332053	49332320	49332053	49332296	49340230	49340282
325	"ENSG00000183207"	"RUVBL2"	chr19	+	49004206	49004418	49004276	49004418	48999318	48999373
329	"ENSG00000232871"	"SEC1P"	chr19	+	48673138	48673267	48673155	48673267	48663196	48663267
333	"ENSG00000063176"	"SPHK2"	chr19	+	48625890	48626362	48626067	48626362	48624005	48624430
334	"ENSG00000063176"	"SPHK2"	chr19	+	48625890	48626362	48626067	48626362	48624951	48625076
335	"ENSG00000063177"	"RPL18"	chr19	-	48615876	48615946	48615876	48615905	48616725	48616824
343	"ENSG00000105486"	"LIG1"	chr19	-	48151231	48151339	48151231	48151336	48157013	48157140
345	"ENSG00000181027"	"FKRP"	chr19	+	46748514	46748884	46748774	46748884	46748026	46748088
360	"ENSG00000007047"	"MARK4"	chr19	+	45277922	45278042	45277980	45278042	45271471	45271708
373	"ENSG00000105404"	"RABAC1"	chr19	-	41956680	41956934	41956680	41956890	41958285	41958383
387	"ENSG00000188493"	"C19orf54"	chr19	-	40740861	40741065	40740861	40741008	40741365	40741680
388	"ENSG00000188493"	"C19orf54"	chr19	-	40740855	40742770	40740855	40741439	40743904	40743981
389	"ENSG00000188493"	"C19orf54"	chr19	-	40743914	40743981	40743914	40743975	40744066	40744196
393	"ENSG00000013275"	"PSMC4"	chr19	+	39980069	39980454	39980285	39980454	39979816	39979984
395	"ENSG00000105193"	"RPS16"	chr19	-	39433521	39433761	39433521	39433569	39435606	39435708
396	"ENSG00000105193"	"RPS16"	chr19	-	39435606	39435708	39435606	39435705	39435847	39435949
406	"ENSG00000130244"	"FAM98C"	chr19	+	38405518	38407077	38406909	38407077	38403559	38403694
407	"ENSG00000130244"	"FAM98C"	chr19	+	38405518	38407077	38406909	38407077	38405343	38405421
411	"ENSG00000011332"	"DPF1"	chr19	-	38222547	38222708	38222547	38222703	38224113	38224250
414	"ENSG00000189144"	"ZNF573"	chr19	-	37771563	37771696	37771563	37771690	37772937	37772982
