ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000160294"	"MCM3AP"	chr21	-	46246306	46246886	46246306	46246404	46246627	46246886
1	"ENSG00000160285"	"LSS"	chr21	-	46188445	46191235	46188445	46188821	46191075	46191235
2	"ENSG00000186866"	"POFUT2"	chr21	-	45263927	45267713	45263927	45265635	45267589	45267713
3	"ENSG00000182586"	"LINC00334"	chr21	+	45258450	45259285	45258450	45258713	45259049	45259285
4	"ENSG00000160224"	"AIRE"	chr21	+	44286977	44287591	44286977	44287133	44287516	44287591
5	"ENSG00000160224"	"AIRE"	chr21	+	44288344	44289802	44288344	44288458	44289656	44289802
6	"ENSG00000160224"	"AIRE"	chr21	+	44292992	44293175	44292992	44293025	44293107	44293175
7	"ENSG00000160223"	"ICOSLG"	chr21	-	44226833	44230089	44226833	44229044	44230053	44230089
8	"ENSG00000241945"	"PWP2"	chr21	+	44120951	44122357	44120951	44121102	44122176	44122357
9	"ENSG00000241945"	"PWP2"	chr21	+	44124579	44126119	44124579	44124727	44126010	44126119
10	"ENSG00000160200"	"CBS"	chr21	-	43053190	43053983	43053190	43053647	43053861	43053983
11	"ENSG00000235123"	"DSCAM-AS1"	chr21	+	40383082	40383584	40383082	40383408	40383505	40383584
12	"ENSG00000205622"	"AP001042.1"	chr21	-	38904229	38905423	38904229	38904483	38904954	38905423
13	"ENSG00000205622"	"AP001042.1"	chr21	-	38923425	38923693	38923425	38923513	38923637	38923693
14	"ENSG00000141959"	"PFKL"	chr21	+	44313912	44316339	44313912	44314021	44316243	44316339
15	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44320147	44319350	44319415	44320083	44320147
16	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44321875	44319350	44320147	44321728	44321875
17	"ENSG00000141959"	"PFKL"	chr21	+	44324855	44326060	44324855	44324917	44325960	44326060
18	"ENSG00000182670"	"TTC3"	chr21	+	37087832	37088346	37087832	37087875	37088195	37088346
19	"ENSG00000185917"	"SETD4"	chr21	-	36034540	36036251	36034540	36035960	36036084	36036251
20	"ENSG00000241837"	"ATP5PO"	chr21	-	33906448	33907453	33906448	33906500	33907340	33907453
21	"ENSG00000265590"	"C21orf59-TCP10L"	chr21	-	32573283	32574124	32573283	32573368	32574095	32574124
22	"ENSG00000265590"	"C21orf59-TCP10L"	chr21	-	32573283	32574676	32573283	32573368	32574575	32574676
23	"ENSG00000265590"	"C21orf59-TCP10L"	chr21	-	32573283	32574676	32573283	32574124	32574575	32574676
24	"ENSG00000265590"	"C21orf59-TCP10L"	chr21	-	32574575	32576923	32574575	32574676	32575376	32576923
25	"ENSG00000156261"	"CCT8"	chr21	-	29066715	29067071	29066715	29066777	29066890	29067071
26	"ENSG00000154734"	"ADAMTS1"	chr21	-	26838438	26839762	26838438	26838614	26839586	26839762
27	"ENSG00000154734"	"ADAMTS1"	chr21	-	26839874	26840562	26839874	26840061	26840275	26840562
28	"ENSG00000237484"	"LINC01684"	chr21	+	24488112	24488912	24488112	24488309	24488479	24488912
29	"ENSG00000224924"	"LINC00320"	chr21	-	20742586	20743833	20742586	20742791	20743615	20743833
30	"ENSG00000232884"	"AF127936.1"	chr21	-	14753323	14753852	14753323	14753394	14753800	14753852
31	"ENSG00000243064"	"ABCC13"	chr21	+	14288403	14291747	14288403	14288546	14291569	14291747
32	"ENSG00000243064"	"ABCC13"	chr21	+	14316200	14317635	14316200	14316368	14317472	14317635
33	"ENSG00000228314"	"CYP4F29P"	chr21	-	13846758	13847123	13846758	13846879	13847062	13847123
34	"ENSG00000224309"	"ANKRD30BP2"	chr21	+	13042778	13045270	13042778	13042952	13045162	13045270
35	"ENSG00000275895"	"U2AF1L5"	chr21	-	6492130	6496080	6492130	6492197	6495992	6496080
36	"ENSG00000274276"	"CBSL"	chr21	-	6444868	6445661	6444868	6445325	6445539	6445661
37	"ENSG00000275464"	"FP565260.1"	chr21	-	5135934	5137474	5135934	5136043	5137326	5137474
38	"ENSG00000275464"	"FP565260.1"	chr21	-	5139697	5141103	5139697	5139878	5140952	5141103
39	"ENSG00000251322"	"SHANK3"	chr22	+	50697998	50698803	50697998	50698122	50698689	50698803
40	"ENSG00000251322"	"SHANK3"	chr22	+	50697998	50698803	50697998	50698342	50698689	50698803
41	"ENSG00000100299"	"ARSA"	chr22	-	50626590	50627406	50626590	50626760	50627165	50627406
42	"ENSG00000100299"	"ARSA"	chr22	-	50627555	50628170	50627555	50627792	50627945	50628170
43	"ENSG00000025770"	"NCAPH2"	chr22	+	50523016	50523472	50523016	50523166	50523234	50523472
44	"ENSG00000100241"	"SBF1"	chr22	-	50447321	50447609	50447321	50447453	50447521	50447609
45	"ENSG00000100241"	"SBF1"	chr22	-	50467531	50467923	50467531	50467690	50467785	50467923
46	"ENSG00000100241"	"SBF1"	chr22	-	50467531	50467923	50467531	50467693	50467785	50467923
47	"ENSG00000205593"	"DENND6B"	chr22	-	50313813	50314272	50313813	50313878	50314206	50314272
48	"ENSG00000188130"	"MAPK12"	chr22	-	50255614	50256199	50255614	50255694	50256084	50256199
49	"ENSG00000128159"	"TUBGCP6"	chr22	-	50217917	50218402	50217917	50218117	50218188	50218402
50	"ENSG00000128159"	"TUBGCP6"	chr22	-	50219287	50219791	50219287	50219456	50219643	50219791
51	"ENSG00000128159"	"TUBGCP6"	chr22	-	50219956	50221874	50219956	50220015	50220191	50221874
52	"ENSG00000128159"	"TUBGCP6"	chr22	-	50219956	50221874	50219956	50220015	50220250	50221874
