ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"ENSG00000160285"	"LSS"	chr21	-	46222629	46222738	46222662	46222738	46221853	46221975
1	"ENSG00000183570"	"PCBP3"	chr21	+	45913950	45914094	45913950	45914025	45917587	45917629
2	"ENSG00000186866"	"POFUT2"	chr21	-	45283351	45283527	45283382	45283527	45282348	45282459
3	"ENSG00000186866"	"POFUT2"	chr21	-	45283351	45283527	45283382	45283527	45282368	45282398
4	"ENSG00000186866"	"POFUT2"	chr21	-	45283351	45283527	45283382	45283527	45282803	45282938
5	"ENSG00000160255"	"ITGB2"	chr21	-	44910599	44910785	44910724	44910785	44910283	44910372
6	"ENSG00000160255"	"ITGB2"	chr21	-	44910599	44910785	44910724	44910785	44910283	44910415
7	"ENSG00000184900"	"SUMO3"	chr21	-	44808996	44809118	44809046	44809118	44805616	44807040
8	"ENSG00000184900"	"SUMO3"	chr21	-	44813861	44814104	44813975	44814104	44809046	44809118
9	"ENSG00000160209"	"PDXK"	chr21	+	43732138	43732647	43732138	43732442	43734068	43734123
10	"ENSG00000160207"	"HSF2BP"	chr21	-	43633262	43633421	43633271	43633421	43630321	43630454
11	"ENSG00000184012"	"TMPRSS2"	chr21	-	41507949	41508158	41508080	41508158	41498118	41498189
12	"ENSG00000235123"	"DSCAM-AS1"	chr21	+	40383082	40383584	40383082	40383455	40384578	40385358
13	"ENSG00000205622"	"AP001042.1"	chr21	-	38904229	38905423	38904954	38905423	38901900	38901965
14	"ENSG00000205622"	"AP001042.1"	chr21	-	38904904	38905452	38904954	38905452	38901900	38901965
15	"ENSG00000157557"	"ETS2"	chr21	+	38819502	38819871	38819502	38819766	38821585	38821704
16	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44321875	44319350	44320147	44322132	44322203
17	"ENSG00000141959"	"PFKL"	chr21	+	44324855	44326060	44324855	44324917	44326158	44326264
18	"ENSG00000159267"	"HLCS"	chr21	-	36947332	36948287	36948165	36948287	36938831	36938994
19	"ENSG00000241837"	"ATP5PO"	chr21	-	33906448	33907453	33907340	33907453	33903934	33904021
20	"ENSG00000241837"	"ATP5PO"	chr21	-	33915135	33915724	33915651	33915724	33914449	33914500
21	"ENSG00000159131"	"GART"	chr21	-	33528514	33528604	33528518	33528604	33528166	33528335
22	"ENSG00000205930"	"C21orf62-AS1"	chr21	+	32772160	32772320	32772160	32772308	32784796	32784919
23	"ENSG00000159086"	"PAXBP1"	chr21	-	32755212	32755353	32755229	32755353	32751118	32751218
24	"ENSG00000166979"	"EVA1C"	chr21	+	32501414	32501495	32501414	32501486	32503925	32504015
25	"ENSG00000166979"	"EVA1C"	chr21	+	32501414	32501538	32501414	32501486	32503925	32504015
26	"ENSG00000166979"	"EVA1C"	chr21	+	32501414	32501538	32501414	32501495	32503925	32504015
27	"ENSG00000166979"	"EVA1C"	chr21	+	32501414	32501495	32501414	32501486	32514813	32515389
28	"ENSG00000166979"	"EVA1C"	chr21	+	32501414	32501538	32501414	32501486	32514813	32515389
29	"ENSG00000166979"	"EVA1C"	chr21	+	32501414	32501538	32501414	32501495	32514813	32515389
30	"ENSG00000226935"	"LINC00161"	chr21	+	28539317	28539884	28539317	28539528	28540052	28540355
31	"ENSG00000225298"	"LINC00113"	chr21	+	27745817	27746036	27745817	27746032	27751071	27751233
32	"ENSG00000237484"	"LINC01684"	chr21	+	24438252	24438443	24438252	24438433	24441168	24441353
33	"ENSG00000237484"	"LINC01684"	chr21	+	24438252	24438443	24438252	24438433	24441794	24441913
34	"ENSG00000224924"	"LINC00320"	chr21	-	20757218	20757417	20757310	20757417	20742920	20743833
35	"ENSG00000224924"	"LINC00320"	chr21	-	20782249	20782446	20782306	20782446	20781569	20781661
36	"ENSG00000215386"	"MIR99AHG"	chr21	+	16070498	16070567	16070498	16070548	16071113	16071398
37	"ENSG00000215386"	"MIR99AHG"	chr21	+	16070532	16070892	16070532	16070567	16071113	16071398
38	"ENSG00000215386"	"MIR99AHG"	chr21	+	16589352	16589467	16589352	16589413	16594339	16594454
39	"ENSG00000215386"	"MIR99AHG"	chr21	+	16589352	16589540	16589352	16589413	16594339	16594454
40	"ENSG00000215386"	"MIR99AHG"	chr21	+	16589352	16589557	16589352	16589413	16594339	16594454
41	"ENSG00000215386"	"MIR99AHG"	chr21	+	16589352	16589736	16589352	16589413	16594339	16594454
42	"ENSG00000215386"	"MIR99AHG"	chr21	+	16589352	16589540	16589352	16589467	16594339	16594454
43	"ENSG00000215386"	"MIR99AHG"	chr21	+	16589352	16589557	16589352	16589467	16594339	16594454
44	"ENSG00000215386"	"MIR99AHG"	chr21	+	16589352	16589736	16589352	16589467	16594339	16594454
45	"ENSG00000215386"	"MIR99AHG"	chr21	+	16589352	16589557	16589352	16589540	16594339	16594454
46	"ENSG00000215386"	"MIR99AHG"	chr21	+	16589352	16589736	16589352	16589540	16594339	16594454
47	"ENSG00000215386"	"MIR99AHG"	chr21	+	16589352	16589736	16589352	16589557	16594339	16594454
48	"ENSG00000274333"	"CU633967.1"	chr21	+	5584809	5585063	5584809	5584975	5585822	5585987
49	"ENSG00000251322"	"SHANK3"	chr22	+	50697998	50698342	50697998	50698122	50698689	50698803
50	"ENSG00000254413"	"CHKB-CPT1B"	chr22	-	50579726	50579830	50579790	50579830	50579425	50579507
51	"ENSG00000185386"	"MAPK11"	chr22	-	50267252	50267286	50267256	50267286	50267126	50267174
52	"ENSG00000188130"	"MAPK12"	chr22	-	50256787	50256964	50256934	50256964	50256598	50256646
53	"ENSG00000128159"	"TUBGCP6"	chr22	-	50217917	50218402	50218188	50218402	50217688	50217827
54	"ENSG00000128159"	"TUBGCP6"	chr22	-	50219287	50219791	50219643	50219791	50219067	50219209
55	"ENSG00000128159"	"TUBGCP6"	chr22	-	50220191	50221874	50220250	50221874	50219956	50220015
56	"ENSG00000128159"	"TUBGCP6"	chr22	-	50220191	50221874	50221274	50221874	50219956	50220015
57	"ENSG00000128159"	"TUBGCP6"	chr22	-	50220250	50221874	50221274	50221874	50219956	50220015
58	"ENSG00000093000"	"NUP50"	chr22	+	45170987	45171177	45170987	45171143	45171599	45171683
59	"ENSG00000187012"	"LINC00207"	chr22	+	44570499	44570624	44570499	44570588	44571375	44571492
60	"ENSG00000100138"	"SNU13"	chr22	-	41687721	41688327	41688078	41688327	41680243	41680364
61	"ENSG00000100138"	"SNU13"	chr22	-	41687721	41688327	41688151	41688327	41680243	41680364
62	"ENSG00000100138"	"SNU13"	chr22	-	41688078	41688327	41688151	41688327	41680243	41680364
63	"ENSG00000100413"	"POLR3H"	chr22	-	41532603	41532745	41532658	41532745	41532093	41532157
64	"ENSG00000100395"	"L3MBTL2"	chr22	+	41217122	41219536	41217122	41217202	41220733	41220868
65	"ENSG00000100372"	"SLC25A17"	chr22	-	40797253	40797336	40797283	40797336	40794513	40794580
66	"ENSG00000196588"	"MRTFA"	chr22	-	40416975	40417046	40416985	40417046	40410281	40411907
67	"ENSG00000196588"	"MRTFA"	chr22	-	40463220	40463286	40463242	40463286	40435498	40435554
68	"ENSG00000100242"	"SUN2"	chr22	-	38740266	38741050	38740888	38741050	38739721	38739943
69	"ENSG00000100242"	"SUN2"	chr22	-	38740888	38741050	38741006	38741050	38740266	38740432
70	"ENSG00000184949"	"FAM227A"	chr22	-	38591360	38591540	38591434	38591540	38578119	38586199
71	"ENSG00000184949"	"FAM227A"	chr22	-	38639614	38639724	38639654	38639724	38638745	38638822
72	"ENSG00000100201"	"DDX17"	chr22	-	38487872	38488115	38487878	38488115	38485934	38486440
73	"ENSG00000100139"	"MICALL1"	chr22	+	37927410	37927826	37927410	37927820	37931798	37931933
74	"ENSG00000100129"	"EIF3L"	chr22	+	37851279	37851561	37851279	37851490	37855564	37855644
75	"ENSG00000100124"	"ANKRD54"	chr22	-	37832957	37833206	37833158	37833206	37832636	37832744
76	"ENSG00000100083"	"GGA1"	chr22	+	37616921	37617048	37616921	37616997	37618447	37618546
77	"ENSG00000100365"	"NCF4"	chr22	+	36875652	36875787	36875652	36875783	36876028	36876094
78	"ENSG00000236052"	"LINC01643"	chr22	+	34107938	34107993	34107938	34107989	34109325	34109434
79	"ENSG00000236052"	"LINC01643"	chr22	+	34206081	34206194	34206081	34206163	34218507	34218796
80	"ENSG00000236052"	"LINC01643"	chr22	+	34213811	34213970	34213811	34213919	34218507	34218796
81	"ENSG00000100150"	"DEPDC5"	chr22	+	31784813	31785107	31784813	31784875	31792032	31792102
82	"ENSG00000100150"	"DEPDC5"	chr22	+	31797599	31797703	31797599	31797699	31798581	31798656
83	"ENSG00000100150"	"DEPDC5"	chr22	+	31810520	31810665	31810520	31810641	31814991	31815212
84	"ENSG00000100150"	"DEPDC5"	chr22	+	31905983	31906094	31905983	31906066	31906204	31906975
85	"ENSG00000198089"	"SFI1"	chr22	+	31604868	31606430	31604868	31604945	31607936	31608033
86	"ENSG00000138942"	"RNF185"	chr22	+	31196935	31197157	31196935	31196990	31201497	31201615
87	"ENSG00000138942"	"RNF185"	chr22	+	31196935	31197158	31196935	31196990	31201497	31201615
88	"ENSG00000138942"	"RNF185"	chr22	+	31196935	31197158	31196935	31197157	31201497	31201615
89	"ENSG00000185133"	"INPP5J"	chr22	+	31124844	31126010	31124844	31124906	31126375	31126489
90	"ENSG00000185339"	"TCN2"	chr22	+	30612872	30613042	30612872	30612961	30614348	30614501
91	"ENSG00000187860"	"CCDC157"	chr22	+	30370325	30371727	30370325	30370950	30373596	30373764
92	"ENSG00000100325"	"ASCC2"	chr22	-	29801993	29802208	29802114	29802208	29800990	29801110
93	"ENSG00000100325"	"ASCC2"	chr22	-	29834441	29834550	29834488	29834550	29825621	29825780
94	"ENSG00000100325"	"ASCC2"	chr22	-	29834441	29834550	29834488	29834550	29832244	29832342
95	"ENSG00000100325"	"ASCC2"	chr22	-	29834441	29834550	29834488	29834550	29833540	29833614
96	"ENSG00000186575"	"NF2"	chr22	+	29683019	29683079	29683019	29683064	29694751	29694811
97	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29288786	29288605	29288755	29292136	29292169
98	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29291599	29288605	29288755	29292136	29292169
99	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29291599	29288605	29288786	29292136	29292169
100	"ENSG00000100209"	"HSCB"	chr22	+	28743881	28743978	28743881	28743923	28744614	28744704
101	"ENSG00000100209"	"HSCB"	chr22	+	28744614	28744709	28744614	28744704	28745255	28745543
102	"ENSG00000100209"	"HSCB"	chr22	+	28744614	28744709	28744614	28744704	28745863	28746008
103	"ENSG00000100209"	"HSCB"	chr22	+	28743881	28743978	28743881	28743923	28751240	28751288
104	"ENSG00000100209"	"HSCB"	chr22	+	28744614	28744709	28744614	28744704	28751240	28751288
105	"ENSG00000183765"	"CHEK2"	chr22	-	28724564	28724923	28724885	28724923	28711908	28712017
106	"ENSG00000183765"	"CHEK2"	chr22	-	28724564	28724923	28724885	28724923	28719394	28719485
107	"ENSG00000183765"	"CHEK2"	chr22	-	28724564	28724923	28724885	28724923	28721599	28721631
108	"ENSG00000183765"	"CHEK2"	chr22	-	28730419	28730548	28730455	28730548	28725242	28725367
109	"ENSG00000183765"	"CHEK2"	chr22	-	28741768	28741820	28741781	28741820	28734402	28734727
110	"ENSG00000235954"	"TTC28-AS1"	chr22	+	27997410	27998152	27997410	27997739	27998603	27998838
111	"ENSG00000235954"	"TTC28-AS1"	chr22	+	27997410	27998838	27997410	27997739	27999429	28001658
112	"ENSG00000100099"	"HPS4"	chr22	-	26466225	26468623	26468550	26468623	26465454	26465551
113	"ENSG00000229770"	"AL022337.1"	chr22	-	26162748	26163286	26163144	26163286	26162228	26162282
114	"ENSG00000231933"	"MYO18B-AS1"	chr22	-	25895097	25895268	25895110	25895268	25892436	25892640
115	"ENSG00000099991"	"CABIN1"	chr22	+	24098013	24098192	24098013	24098105	24113565	24113748
116	"ENSG00000099953"	"MMP11"	chr22	+	23779186	23779416	23779186	23779368	23780358	23780502
117	"ENSG00000228315"	"GUSBP11"	chr22	-	23690231	23690356	23690235	23690356	23659864	23660000
118	"ENSG00000228315"	"GUSBP11"	chr22	-	23686830	23686995	23686837	23686995	23683724	23683867
119	"ENSG00000228315"	"GUSBP11"	chr22	-	23690231	23690356	23690235	23690356	23683724	23683867
120	"ENSG00000228315"	"GUSBP11"	chr22	-	23694118	23695517	23695172	23695517	23683724	23683867
121	"ENSG00000228315"	"GUSBP11"	chr22	-	23694118	23695517	23695172	23695517	23690235	23690356
122	"ENSG00000215478"	"CES5AP1"	chr22	-	23373594	23373748	23373629	23373748	23370357	23370462
123	"ENSG00000161179"	"YDJC"	chr22	-	21629542	21629761	21629601	21629761	21629307	21629407
124	"ENSG00000183506"	"PI4KAP2"	chr22	-	21475991	21476160	21476001	21476160	21475210	21475300
125	"ENSG00000206140"	"TMEM191C"	chr22	+	21467893	21468202	21467893	21468017	21468314	21468431
126	"ENSG00000206140"	"TMEM191C"	chr22	+	21467893	21468431	21467893	21468202	21468778	21468835
127	"ENSG00000206140"	"TMEM191C"	chr22	+	21468943	21469062	21468943	21469003	21469273	21469346
128	"ENSG00000169668"	"BCRP2"	chr22	+	21115928	21116068	21115928	21116001	21117123	21117258
129	"ENSG00000226287"	"TMEM191A"	chr22	+	20703632	20703751	20703632	20703692	20703967	20704040
130	"ENSG00000226287"	"TMEM191A"	chr22	+	20703967	20704056	20703967	20704040	20704187	20704228
131	"ENSG00000099917"	"MED15"	chr22	+	20537116	20537215	20537116	20537204	20551435	20551487
132	"ENSG00000099917"	"MED15"	chr22	+	20537116	20537215	20537116	20537204	20564449	20564688
133	"ENSG00000232855"	"AF165147.1"	chr21	-	28577152	28577380	28577274	28577380	28482956	28483069
134	"ENSG00000070371"	"CLTCL1"	chr22	-	19201328	19201493	19201390	19201493	19199733	19199841
135	"ENSG00000183628"	"DGCR6"	chr22	+	18906564	18907086	18906564	18906725	18910178	18910272
136	"ENSG00000183628"	"DGCR6"	chr22	+	18906564	18907086	18906564	18906725	18910887	18911028
137	"ENSG00000274602"	"PI4KAP1"	chr22	-	18537291	18537412	18537294	18537412	18536649	18536808
138	"ENSG00000093072"	"ADA2"	chr22	-	17189941	17191810	17191682	17191810	17188338	17188447
139	"ENSG00000100359"	"SGSM3"	chr22	+	40407016	40407328	40407016	40407071	40407412	40407568
140	"ENSG00000100359"	"SGSM3"	chr22	+	40407016	40407568	40407016	40407071	40408626	40408697
141	"ENSG00000012817"	"KDM5D"	chrY	-	19708243	19708423	19708321	19708423	19707933	19708071
142	"ENSG00000183878"	"UTY"	chrY	-	13355002	13355398	13355374	13355398	13335562	13336335
143	"ENSG00000099326"	"MZF1"	chr19	-	58570343	58571429	58570993	58571429	58569515	58569586
144	"ENSG00000083807"	"SLC27A5"	chr19	-	58511267	58511992	58511519	58511992	58510720	58510930
145	"ENSG00000198131"	"ZNF544"	chr19	+	58230393	58230497	58230393	58230462	58237248	58237334
146	"ENSG00000198131"	"ZNF544"	chr19	+	58230393	58230497	58230393	58230462	58243964	58244056
147	"ENSG00000196724"	"ZNF418"	chr19	-	57925622	57928047	57927976	57928047	57923191	57923289
148	"ENSG00000196724"	"ZNF418"	chr19	-	57935030	57935135	57935079	57935135	57933816	57933902
149	"ENSG00000178935"	"ZNF552"	chr19	-	57814532	57814913	57814710	57814913	57813293	57813420
150	"ENSG00000251369"	"ZNF550"	chr19	-	57543650	57544583	57544236	57544583	57541839	57543243
151	"ENSG00000197128"	"ZNF772"	chr19	-	57475032	57475146	57475047	57475146	57474360	57474421
152	"ENSG00000105146"	"AURKC"	chr19	+	57232541	57232685	57232541	57232680	57233459	57233608
153	"ENSG00000269699"	"ZIM2"	chr19	-	56840581	56840729	56840586	56840729	56836017	56836104
154	"ENSG00000131848"	"ZSCAN5A"	chr19	-	56314619	56314839	56314680	56314839	56313282	56313384
155	"ENSG00000108107"	"RPL28"	chr19	+	55386569	55386693	55386569	55386674	55387929	55388048
156	"ENSG00000160469"	"BRSK1"	chr19	+	55287213	55287303	55287213	55287299	55287991	55288053
157	"ENSG00000160469"	"BRSK1"	chr19	+	55287213	55287303	55287213	55287299	55289479	55289620
158	"ENSG00000129991"	"TNNI3"	chr19	-	55154707	55154830	55154740	55154830	55154029	55154206
159	"ENSG00000129991"	"TNNI3"	chr19	-	55157250	55157308	55157295	55157308	55157049	55157133
160	"ENSG00000105048"	"TNNT1"	chr19	-	55146659	55146707	55146680	55146707	55145543	55145565
161	"ENSG00000105048"	"TNNT1"	chr19	-	55147104	55147168	55147125	55147168	55147007	55147021
162	"ENSG00000160439"	"RDH13"	chr19	-	55047104	55047488	55047386	55047488	55044342	55045309
163	"ENSG00000088053"	"GP6"	chr19	-	55015678	55015733	55015682	55015733	55013704	55015165
164	"ENSG00000022556"	"NLRP2"	chr19	+	54990021	54990393	54990021	54990192	54990501	54990672
165	"ENSG00000189013"	"KIR2DL4"	chr19	+	54813124	54813295	54813124	54813228	54813689	54813742
166	"ENSG00000167614"	"TTYH1"	chr19	+	54419127	54419306	54419127	54419302	54421276	54421388
167	"ENSG00000167613"	"LAIR1"	chr19	-	54356711	54356966	54356927	54356966	54356490	54356619
168	"ENSG00000167613"	"LAIR1"	chr19	-	54359842	54360072	54360021	54360072	54356927	54356966
169	"ENSG00000167613"	"LAIR1"	chr19	-	54360915	54361209	54361009	54361209	54360021	54360072
170	"ENSG00000170892"	"TSEN34"	chr19	+	54190267	54190450	54190267	54190371	54191360	54191607
171	"ENSG00000167608"	"TMC4"	chr19	-	54163652	54163887	54163723	54163887	54163032	54163159
172	"ENSG00000105618"	"PRPF31"	chr19	+	54128072	54128377	54128072	54128200	54129056	54129370
173	"ENSG00000286261"	"AC022137.3"	chr19	+	53445000	53445219	53445000	53445123	53446226	53446337
174	"ENSG00000286261"	"AC022137.3"	chr19	+	53445000	53445219	53445000	53445123	53447195	53447283
175	"ENSG00000170949"	"ZNF160"	chr19	-	53091412	53091720	53091636	53091720	53086261	53086321
176	"ENSG00000167555"	"ZNF528"	chr19	+	52397871	52397904	52397871	52397900	52398366	52398619
177	"ENSG00000160193"	"WDR4"	chr21	-	42873550	42873691	42873602	42873691	42859661	42859722
178	"ENSG00000160193"	"WDR4"	chr21	-	42873550	42873691	42873602	42873691	42863439	42863596
179	"ENSG00000196214"	"ZNF766"	chr19	+	52274461	52274669	52274461	52274582	52282110	52282237
180	"ENSG00000161551"	"ZNF577"	chr19	-	51887843	51887942	51887895	51887942	51880678	51880877
181	"ENSG00000167759"	"KLK13"	chr19	-	51059744	51060093	51059824	51060093	51058537	51058674
182	"ENSG00000167759"	"KLK13"	chr19	-	51059744	51060093	51060035	51060093	51058537	51058674
183	"ENSG00000167759"	"KLK13"	chr19	-	51059744	51060093	51060043	51060093	51058537	51058674
184	"ENSG00000167759"	"KLK13"	chr19	-	51059824	51060093	51060035	51060093	51058537	51058674
185	"ENSG00000167759"	"KLK13"	chr19	-	51059824	51060093	51060043	51060093	51058537	51058674
186	"ENSG00000167759"	"KLK13"	chr19	-	51060035	51060093	51060043	51060093	51058537	51058674
187	"ENSG00000167757"	"KLK11"	chr19	-	51024633	51024794	51024637	51024794	51024044	51024310
188	"ENSG00000104960"	"PTOV1"	chr19	+	49850734	49851096	49850734	49850955	49854405	49854543
189	"ENSG00000169169"	"CPT1C"	chr19	+	49691820	49691953	49691820	49691889	49692238	49692393
190	"ENSG00000126457"	"PRMT1"	chr19	+	49680139	49680253	49680139	49680238	49680486	49680588
191	"ENSG00000126453"	"BCL2L12"	chr19	+	49669023	49669164	49669023	49669115	49670215	49670488
192	"ENSG00000142546"	"NOSIP"	chr19	-	49556548	49556993	49556874	49556993	49556316	49556425
193	"ENSG00000142546"	"NOSIP"	chr19	-	49557080	49557249	49557089	49557249	49556874	49556993
194	"ENSG00000142541"	"RPL13A"	chr19	+	49489849	49489922	49489849	49489912	49490231	49490297
195	"ENSG00000142541"	"RPL13A"	chr19	+	49489849	49490090	49489849	49489912	49490231	49490297
196	"ENSG00000142541"	"RPL13A"	chr19	+	49489849	49490090	49489849	49489922	49490231	49490297
197	"ENSG00000142541"	"RPL13A"	chr19	+	49489849	49489922	49489849	49489912	49490474	49490576
198	"ENSG00000142541"	"RPL13A"	chr19	+	49489849	49490297	49489849	49489912	49490474	49490576
199	"ENSG00000142541"	"RPL13A"	chr19	+	49489849	49490297	49489849	49489922	49490474	49490576
200	"ENSG00000142541"	"RPL13A"	chr19	+	49490231	49490576	49490231	49490297	49490778	49490864
201	"ENSG00000142541"	"RPL13A"	chr19	+	49490474	49490600	49490474	49490576	49490778	49490864
202	"ENSG00000142541"	"RPL13A"	chr19	+	49489849	49489922	49489849	49489912	49491039	49491099
203	"ENSG00000142541"	"RPL13A"	chr19	+	49490231	49490576	49490231	49490297	49491039	49491099
204	"ENSG00000142541"	"RPL13A"	chr19	+	49490778	49491099	49490778	49490864	49491424	49491547
205	"ENSG00000104872"	"PIH1D1"	chr19	-	49449339	49449654	49449474	49449654	49448000	49448062
206	"ENSG00000104872"	"PIH1D1"	chr19	-	49451367	49451578	49451484	49451578	49449474	49449654
207	"ENSG00000104872"	"PIH1D1"	chr19	-	49451367	49451578	49451484	49451578	49450781	49450848
208	"ENSG00000161609"	"CCDC155"	chr19	+	49393345	49393419	49393345	49393400	49394475	49394580
209	"ENSG00000130529"	"TRPM4"	chr19	+	49182577	49182922	49182577	49182867	49183077	49183212
210	"ENSG00000104852"	"SNRNP70"	chr19	+	49102113	49102185	49102113	49102173	49104633	49104735
211	"ENSG00000104852"	"SNRNP70"	chr19	+	49102113	49103587	49102113	49102173	49104633	49104735
212	"ENSG00000104852"	"SNRNP70"	chr19	+	49102113	49103587	49102113	49102185	49104633	49104735
213	"ENSG00000183207"	"RUVBL2"	chr19	+	49009775	49009882	49009775	49009871	49009972	49010066
214	"ENSG00000087076"	"HSD17B14"	chr19	-	48813432	48813552	48813455	48813552	48813017	48813348
215	"ENSG00000174951"	"FUT1"	chr19	-	48755289	48755390	48755325	48755390	48753324	48753563
216	"ENSG00000063177"	"RPL18"	chr19	-	48616078	48617423	48617315	48617423	48615876	48615946
217	"ENSG00000142227"	"EMP3"	chr19	+	48327520	48327623	48327520	48327561	48329351	48329492
218	"ENSG00000142227"	"EMP3"	chr19	+	48327520	48327664	48327520	48327561	48329351	48329492
219	"ENSG00000142227"	"EMP3"	chr19	+	48327520	48327664	48327520	48327623	48329351	48329492
