ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000160305"	"DIP2A"	chr21	+	46484756	46484828	46490599	46490719	46458890	46459222	46496987	46497107
1	"ENSG00000160305"	"DIP2A"	chr21	+	46498581	46498833	46504360	46504489	46496987	46497107	46509256	46509376
2	"ENSG00000160305"	"DIP2A"	chr21	+	46511416	46511614	46529091	46529183	46509256	46509376	46532126	46532237
3	"ENSG00000160305"	"DIP2A"	chr21	+	46511428	46511614	46529091	46529183	46509256	46509376	46532126	46532237
4	"ENSG00000160285"	"LSS"	chr21	-	46194490	46194661	46195675	46195756	46191880	46191959	46196201	46196267
5	"ENSG00000160285"	"LSS"	chr21	-	46195675	46195756	46196201	46196267	46194490	46194661	46205835	46205941
6	"ENSG00000160285"	"LSS"	chr21	-	46208250	46208301	46209553	46209625	46207427	46207577	46210687	46210744
7	"ENSG00000160285"	"LSS"	chr21	-	46215179	46215298	46215684	46215793	46213737	46213835	46216388	46216524
8	"ENSG00000160285"	"LSS"	chr21	-	46219475	46219572	46227551	46227690	46216388	46216524	46228433	46228599
9	"ENSG00000160285"	"LSS"	chr21	-	46221853	46221975	46227551	46227690	46219475	46219572	46228433	46228599
10	"ENSG00000160285"	"LSS"	chr21	-	46222629	46222738	46227551	46227690	46221853	46221975	46228433	46228599
11	"ENSG00000160285"	"LSS"	chr21	-	46222662	46222738	46227551	46227690	46221853	46221975	46228433	46228599
12	"ENSG00000160285"	"LSS"	chr21	-	46227551	46227690	46228433	46228599	46222629	46222738	46228731	46228774
13	"ENSG00000186866"	"POFUT2"	chr21	-	45267589	45267713	45269838	45270019	45263927	45265635	45277016	45277142
14	"ENSG00000186866"	"POFUT2"	chr21	-	45269838	45270019	45277016	45277142	45263927	45267713	45278102	45278169
15	"ENSG00000186866"	"POFUT2"	chr21	-	45282348	45282459	45283382	45283527	45278102	45278169	45285677	45285928
16	"ENSG00000184900"	"SUMO3"	chr21	-	44808996	44809118	44813975	44814104	44805616	44807040	44817947	44818051
17	"ENSG00000184900"	"SUMO3"	chr21	-	44809046	44809118	44813975	44814104	44805616	44807040	44817947	44818129
18	"ENSG00000184900"	"SUMO3"	chr21	-	44809046	44809118	44813975	44814104	44805616	44807040	44818668	44818779
19	"ENSG00000160216"	"AGPAT3"	chr21	+	43903956	43904019	43959633	43959859	43865222	43865345	43967945	43968115
20	"ENSG00000160216"	"AGPAT3"	chr21	+	43903956	43904019	43959633	43959859	43867241	43867346	43967945	43968005
21	"ENSG00000160216"	"AGPAT3"	chr21	+	43903956	43904019	43959633	43959859	43882543	43882615	43967945	43968115
22	"ENSG00000160209"	"PDXK"	chr21	+	43734068	43734123	43741666	43741771	43719096	43719381	43746078	43746125
23	"ENSG00000160208"	"RRP1B"	chr21	+	43672307	43672365	43673869	43673955	43669883	43669966	43674635	43674697
24	"ENSG00000160199"	"PKNOX1"	chr21	+	43007490	43007618	43010052	43010224	43004325	43004432	43013067	43013238
29	"ENSG00000160191"	"PDE9A"	chr21	+	42698967	42699011	42733355	42733426	42653778	42653883	42743775	42743860
30	"ENSG00000160191"	"PDE9A"	chr21	+	42698967	42699011	42733355	42733426	42687916	42687994	42743775	42743860
33	"ENSG00000160191"	"PDE9A"	chr21	+	42733355	42733426	42743775	42743860	42698967	42699011	42751115	42751197
35	"ENSG00000285815"	"WRB-SH3BGR"	chr21	+	39390697	39390863	39391768	39391836	39380348	39380486	39393165	39393280
36	"ENSG00000285815"	"WRB-SH3BGR"	chr21	+	39391768	39391836	39393165	39393280	39390697	39390863	39405913	39406058
37	"ENSG00000285815"	"WRB-SH3BGR"	chr21	+	39475134	39475215	39499822	39499915	39462374	39462560	39508997	39509027
38	"ENSG00000183527"	"PSMG1"	chr21	-	39178448	39178647	39180284	39180436	39177434	39177571	39183251	39183385
39	"ENSG00000141959"	"PFKL"	chr21	+	44306680	44306754	44311005	44311083	44300052	44300190	44312104	44312294
40	"ENSG00000141959"	"PFKL"	chr21	+	44311005	44311083	44312104	44312294	44306680	44306754	44312977	44313143
41	"ENSG00000141959"	"PFKL"	chr21	+	44325152	44325264	44325960	44326060	44324855	44324917	44326158	44326264
42	"ENSG00000182670"	"TTC3"	chr21	+	37152950	37153277	37156654	37156906	37151892	37152029	37159698	37159745
44	"ENSG00000182670"	"TTC3"	chr21	+	37197569	37197696	37197881	37198025	37195674	37196036	37200231	37200324
45	"ENSG00000182670"	"TTC3"	chr21	+	37197881	37198025	37200231	37200324	37197569	37197696	37201439	37201621
46	"ENSG00000159267"	"HLCS"	chr21	-	36765011	36765172	36767217	36767285	36759726	36759841	36896859	36897131
47	"ENSG00000159267"	"HLCS"	chr21	-	36767217	36767285	36896859	36897131	36765011	36765172	36930250	36930433
48	"ENSG00000159267"	"HLCS"	chr21	-	36896859	36897131	36930250	36930433	36767217	36767285	36936448	36937392
49	"ENSG00000159267"	"HLCS"	chr21	-	36930250	36930433	36936448	36937392	36896859	36897131	36938831	36938994
50	"ENSG00000159267"	"HLCS"	chr21	-	36936448	36937392	36938831	36938994	36930250	36930433	36946008	36946154
51	"ENSG00000159267"	"HLCS"	chr21	-	36938831	36938994	36962035	36962170	36936448	36937392	36990157	36990236
54	"ENSG00000185917"	"SETD4"	chr21	-	36045581	36046011	36053582	36053620	36043685	36043956	36057108	36057204
55	"ENSG00000185917"	"SETD4"	chr21	-	36048307	36048396	36053582	36053620	36045581	36046011	36057108	36057204
56	"ENSG00000185917"	"SETD4"	chr21	-	36057383	36057477	36058815	36058924	36057108	36057204	36060281	36060313
57	"ENSG00000243927"	"MRPS6"	chr21	+	34103496	34103519	34125340	34125480	34102834	34102908	34142407	34143034
58	"ENSG00000241837"	"ATP5PO"	chr21	-	33906448	33907453	33912288	33912399	33903934	33904021	33914449	33915768
59	"ENSG00000241837"	"ATP5PO"	chr21	-	33907340	33907453	33909081	33909211	33903934	33904021	33912288	33912399
60	"ENSG00000241837"	"ATP5PO"	chr21	-	33907340	33907453	33912288	33912399	33903934	33904021	33914449	33914500
61	"ENSG00000241837"	"ATP5PO"	chr21	-	33909081	33909211	33914449	33914500	33907340	33907453	33915727	33915804
62	"ENSG00000241837"	"ATP5PO"	chr21	-	33912288	33912399	33914449	33914500	33907340	33907453	33915727	33915761
63	"ENSG00000159131"	"GART"	chr21	-	33504411	33504527	33505560	33505702	33503930	33504315	33505973	33506104
64	"ENSG00000159131"	"GART"	chr21	-	33505560	33505702	33505973	33506104	33504411	33504527	33509782	33509920
65	"ENSG00000159131"	"GART"	chr21	-	33505973	33506104	33509782	33509920	33505560	33505702	33511251	33511458
66	"ENSG00000159131"	"GART"	chr21	-	33509782	33509920	33511251	33511458	33505973	33506104	33516988	33517141
67	"ENSG00000159131"	"GART"	chr21	-	33520363	33520562	33520905	33521015	33517356	33517608	33522187	33522282
68	"ENSG00000159131"	"GART"	chr21	-	33530758	33530884	33531488	33531557	33528849	33528937	33532344	33532456
69	"ENSG00000159086"	"PAXBP1"	chr21	-	32743247	32743314	32743677	32743754	32738172	32738319	32744791	32744913
70	"ENSG00000159086"	"PAXBP1"	chr21	-	32743247	32743314	32743677	32743754	32741392	32741622	32744791	32744913
71	"ENSG00000166979"	"EVA1C"	chr21	+	32495026	32495170	32501414	32501495	32467695	32467848	32514813	32515389
75	"ENSG00000265590"	"C21orf59-TCP10L"	chr21	-	32587312	32587477	32603160	32603292	32582199	32582415	32604124	32604283
76	"ENSG00000265590"	"C21orf59-TCP10L"	chr21	-	32607648	32607716	32609837	32610005	32604124	32604283	32612104	32612146
77	"ENSG00000142207"	"URB1"	chr21	-	32316465	32317065	32317675	32317917	32311017	32315099	32319216	32319414
